# name          ra            dec
Sk-66d19   04:55:53.951          -66:24:59.35       
Sk-66d88   05:25:37.2300651408   -66:14:29.278811328
Sk-67d2    04:47:04.4509965192   -67:06:53.121123648
Sk-68d23   05:00:49.4717504928   -68:07:09.733713888
Sk-68d26   05:01:32.2453117296   -68:10:42.937181508
Sk-68d129  05:36:26.7746241720   -68:57:32.036561136
Sk-69d108  05:19:51.8115702216   -69:53:08.524603608
Sk-69d206  05:35:35.9718223824   -69:07:06.552258708
Sk-69d210  05:36:03.7921076496   -69:01:30.109967868
Sk-69d213  04:53:06.6501256464   -69:44:38.857224552
