,log T,sig,sig(MC),log g,,,vrad,,,logN(HI),,,scalefac,,,E(44-55),,,R(55),,,X0,,,Gamma,,,C1,,,C2,,,C3,,,C4,,,C5,,,NUV,,
AZV_070,4.483,0.006,0.005,3.379,0.076,0.064,33.832,19.704,23.495,20.960,0.067,0.072,-21.912,0.009,0.007,0.099,0.015,0.010,3.906,0.689,0.803,4.561,0.039,0.028,1.394,0.256,0.139,-2.616,0.513,0.517,1.385,0.181,0.221,3.635,1.436,1.052,0.000,0,0.044,6.604,0,0.662,99.990,0,0.000
AZV_086,4.459,0.002,0.001,4.300,0,0.024,67.143,5.185,1.781,19.418,0.081,0.051,-21.952,0.012,0.005,0.122,0.014,0.007,4.081,0.906,0.711,4.665,0.022,0.007,1.051,0.13,0.035,-4.431,0,0.648,2.070,0.202,0.196,1.164,0.334,0.163,0.014,0.073,0.009,7.000,3.777,0.686,2.611,0.085,0.038
AZV_132,4.523,0.002,0.001,4.300,0,0.028,39.021,5.288,2.120,21.817,0.007,0.003,-22.077,0.034,0.016,0.385,0.014,0.016,3.478,0.280,0.219,4.613,0.017,0.005,0.715,0.101,0.030,-0.295,0.069,0.061,0.811,0.032,0.036,0.169,0.045,0.019,0.000,0,0.002,7.000,0,0.565,2.474,0.106,0.110
AZV_214,4.351,0.009,0.012,2.660,0.102,0.132,246.205,38.420,26.890,21.738,0.043,0.033,-21.952,0.01,0.010,0.232,0.014,0.012,2.945,0.208,0.126,4.649,0.062,0.041,0.483,0.26,0.165,-3.692,0.265,0.158,1.707,0.085,0.046,0.138,0.112,0.125,0.000,0,0.046,6.966,0,0.466,99.990,0,0.000
AZV_218,4.384,0.005,0.002,2.982,0.073,0.023,84.379,4.822,2.022,21.666,0.009,0.003,-22.222,0.013,0.004,0.163,0.017,0.004,2.381,0.655,0.225,4.750,0,0.005,1.097,0.122,0.040,-4.048,0,0.216,1.954,0.178,0.066,1.187,0.308,0.132,0.000,0,0.007,6.296,0,0.683,2.620,0.072,0.033
AZV_289,4.450,0.010,0.005,3.111,0.114,0.056,192.236,23.047,20.099,21.498,0.027,0.019,-21.828,0.014,0.009,0.114,0.016,0.009,3.914,0.695,0.385,4.676,0.917,0.125,0.400,0.000,0.289,-1.659,0.458,0.243,1.460,0.172,0.087,0.010,0.043,0.169,0.130,0.113,0.058,7.000,0,0.509,99.990,0,0.000
AZV_380,4.339,0.006,0.009,2.554,0.095,0.085,158.154,35.351,26.472,21.516,0.076,0.053,-22.165,0.009,0.009,0.090,0.016,0.010,2.377,0.580,0.401,4.750,0.000,0.018,0.400,0.000,0.078,-4.021,0.750,0.580,1.756,0.278,0.219,0.282,0.064,0.120,0.000,0.000,0.069,6.388,0,0.629,99.990,0,0.000
AZV_398,4.480,0.014,0.013,3.031,0.079,0.135,220.542,31.851,57.855,22.044,0.091,0.058,-22.174,0.015,0.015,0.322,0.014,0.021,3.541,0.138,0.289,4.584,0.053,0.050,0.481,0.189,0.184,-4.727,0.174,0.321,2.208,0.066,0.135,0.137,0.079,0.137,0.113,0.122,0.068,5.742,0.656,0.459,99.990,0,0.000
AZV 456,4.538,0.008,0.007,4.300,0,0.087,24.439,33.560,43.354,21.090,0.067,0.085,-21.951,0.013,0.010,0.387,0.011,0.007,2.569,0.124,0.089,4.668,0.012,0.012,1.478,0.056,0.035,-1.961,0.139,0.119,1.291,0.039,0.028,4.312,0.402,0.241,0.219,0.115,0.070,6.750,0.311,0.189,99.990,0,0.000
AZV_462,4.316,0.004,0.007,2.497,0.127,0.058,234.163,29.141,16.098,15.000,0.000,0.034,-21.763,0.011,0.008,0.051,0.022,0.010,3.417,1.856,0.907,4.689,0.128,0.059,0.400,0.619,0.238,-1.696,1.587,0.721,1.504,0.552,0.277,0.158,0.333,0.366,0.000,0,0.120,7.000,0,0.683,99.990,0,0.000
