# name          ra            dec
Sk-68d140  05:38:57.1713887928   -68:56:53.151615708
Sk-68d155  05:42:54.9424084824   -68:56:54.480574752
Sk-69d228  05:37:09.1786759272   -69:20:19.507193642
Sk-69d256  05:39:55.7304859200   -69:16:25.889831940
Sk-69d265  05:40:48.8049243960   -69:16:51.205287720
Sk-69d270  05:41:20.3933761824   -69:05:07.273296276
Sk-69d279  05:41:44.6553703752   -69:35:14.905767516
Sk-69d280  05:41:48.9396288888   -69:17:52.388147364
Sk-70d116  05:49:02.8404797232   -70:02:30.130973592
